Elapsed Dive Time (hr:min),Depth (M),TLBG (Tissue Loading Bar Graph) (segments),O2BG (Oxygen Bar Graph) (segments),Tank,Pressure Reading (BAR),PO2 (ATA),VARI (Variable Ascent Rate Indicator) (MPM),Air Time Remaining (hr:min),Dive Time Remaining (hr:min),Deco Time (hr:min),Stop Depth (M),Temp. (C),Link Status,Status
00:03,7.0 ,1,0,1,N/A,0,3-4.5 P,N/A,07:12,00:00,0.0 ,13.9 ,N/A,
00:03,7.0 ,1,0,1,N/A,0,>9 P,N/A,07:54,00:00,0.0 ,13.9 ,N/A,Too Fast
00:03,7.0 ,1,0,1,N/A,0,6-7.5 P,N/A,08:47,00:00,0.0 ,13.9 ,N/A,
00:03,7.3 ,1,0,1,N/A,0,0-3 P,N/A,07:54,00:00,0.0 ,13.9 ,N/A,
00:03,7.0 ,1,0,1,N/A,0,0-3 P,N/A,07:54,00:00,0.0 ,13.9 ,N/A,
00:03,7.0 ,1,0,1,N/A,0,3-4.5 P,N/A,08:47,00:00,0.0 ,13.9 ,N/A,
00:03,7.0 ,1,0,1,N/A,0,3-4.5 P,N/A,08:47,00:00,0.0 ,13.9 ,N/A,
00:03,7.3 ,1,0,1,N/A,0,0-3 P,N/A,07:54,00:00,0.0 ,13.9 ,N/A,
00:04,7.0 ,1,0,1,N/A,0,0-3 P,N/A,07:54,00:00,0.0 ,13.9 ,N/A,
00:04,7.0 ,1,0,1,N/A,0,0-3 P,N/A,07:54,00:00,0.0 ,13.9 ,N/A,
00:04,6.7 ,1,0,1,N/A,0,3-4.5 P,N/A,08:47,00:00,0.0 ,13.9 ,N/A,
00:04,6.7 ,1,0,1,N/A,0,6-7.5 P,N/A,09:55,00:00,0.0 ,13.9 ,N/A,
00:04,7.0 ,1,0,1,N/A,0,3-4.5 P,N/A,08:47,00:00,0.0 ,13.9 ,N/A,
00:04,7.0 ,1,0,1,N/A,0,0-3 P,N/A,07:54,00:00,0.0 ,13.9 ,N/A,
00:04,6.4 ,1,0,1,N/A,0,7.5-9 P,N/A,09:55,00:00,0.0 ,13.9 ,N/A,
00:04,7.0 ,1,0,1,N/A,0,6-7.5 P,N/A,09:55,00:00,0.0 ,13.9 ,N/A,
00:04,6.4 ,1,0,1,N/A,0,0-3 P,N/A,08:47,00:00,0.0 ,13.9 ,N/A,
00:04,5.8 ,1,0,1,N/A,0,>9 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,Too Fast
00:04,6.4 ,1,0,1,N/A,0,>9 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,Too Fast
00:04,6.1 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:04,6.1 ,1,0,1,N/A,0,6-7.5 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:04,6.1 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:04,5.8 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:04,6.7 ,1,0,1,N/A,0,4.5-6 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:04,7.0 ,1,0,1,N/A,0,0-3 P,N/A,08:47,00:00,0.0 ,13.9 ,N/A,
00:04,7.0 ,1,0,1,N/A,0,0-3 P,N/A,07:53,00:00,0.0 ,13.9 ,N/A,
00:04,7.0 ,1,0,1,N/A,0,0-3 P,N/A,07:53,00:00,0.0 ,13.9 ,N/A,
00:04,7.0 ,1,0,1,N/A,0,0-3 P,N/A,07:53,00:00,0.0 ,13.9 ,N/A,
00:04,7.3 ,1,0,1,N/A,0,0-3 P,N/A,07:53,00:00,0.0 ,13.9 ,N/A,
00:04,7.9 ,1,0,1,N/A,0,0-3 P,N/A,06:29,00:00,0.0 ,13.9 ,N/A,
00:04,8.2 ,1,0,1,N/A,0,0-3 P,N/A,05:50,00:00,0.0 ,13.9 ,N/A,
00:04,8.2 ,1,0,1,N/A,0,0-3 P,N/A,05:19,00:00,0.0 ,13.9 ,N/A,
00:04,8.2 ,1,0,1,N/A,0,0-3 P,N/A,05:19,00:00,0.0 ,13.9 ,N/A,
00:04,8.2 ,1,0,1,N/A,0,0-3 P,N/A,05:19,00:00,0.0 ,13.9 ,N/A,
00:04,8.2 ,1,0,1,N/A,0,0-3 P,N/A,05:19,00:00,0.0 ,13.9 ,N/A,
00:04,8.2 ,1,0,1,N/A,0,0-3 P,N/A,05:19,00:00,0.0 ,13.9 ,N/A,
00:04,8.2 ,1,0,1,N/A,0,0-3 P,N/A,05:19,00:00,0.0 ,13.9 ,N/A,
00:04,8.2 ,1,0,1,N/A,0,0-3 P,N/A,05:19,00:00,0.0 ,13.9 ,N/A,
00:05,8.2 ,1,0,1,N/A,0,0-3 P,N/A,05:19,00:00,0.0 ,13.9 ,N/A,
00:05,7.6 ,1,0,1,N/A,0,3-4.5 P,N/A,05:50,00:00,0.0 ,13.9 ,N/A,
00:05,7.0 ,1,0,1,N/A,0,>9 P,N/A,07:53,00:00,0.0 ,13.9 ,N/A,Too Fast
00:05,6.1 ,1,0,1,N/A,0,>9 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,Too Fast
00:05,6.4 ,1,0,1,N/A,0,>9 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,Too Fast
00:05,6.4 ,1,0,1,N/A,0,0-3 P,N/A,09:54,00:00,0.0 ,13.9 ,N/A,
00:05,6.1 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,5.5 ,1,0,1,N/A,0,7.5-9 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,5.2 ,1,0,1,N/A,0,>9 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,Too Fast
00:05,5.5 ,1,0,1,N/A,0,7.5-9 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,5.5 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,5.2 ,1,0,1,N/A,0,3-4.5 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,5.2 ,1,0,1,N/A,0,6-7.5 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,4.6 ,1,0,1,N/A,0,6-7.5 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,4.9 ,1,0,1,N/A,0,7.5-9 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,4.9 ,1,0,1,N/A,0,4.5-6 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,4.9 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,5.2 ,1,0,1,N/A,0,0-3 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
00:05,4.6 ,1,0,1,N/A,0,6-7.5 P,N/A,09:59,00:00,0.0 ,13.9 ,N/A,
